Pump wv (nm):	1955
Probe wv (nm):	1239
P in (mW):	3.45
P start(uW):	24.9
P end(uW):	24.73
Pump in: 	W0233
Probe in: 	W0232
Pump out: 	W0234
Probe out:	W0235

delay (fs)	Transmission
333.3333333	0.9977777778
266.6666667	0.9955555556
200	1.002262443
133.3333333	0.9977375566
66.66666667	0.9705882353
0	0.9061085973
-66.66666667	0.7986425339
-133.3333333	0.7024886878
-200	0.6606334842
-266.6666667	0.6583710407
-333.3333333	0.6685520362
-400	0.6809954751
-466.6666667	0.6968325792
