Pump wv (nm):	1960
Probe wv (nm):	1308
P in (mW):	6.8
P start(uW):	24.5
P end(uW):	24.93
Pump in: 	W0194
Probe in: 	W0193
Pump out: 	W0194
Probe out:	W0197

delay (fs)	Transmission
333.3333333	1
266.6666667	0.9933333333
200	0.9883333333
133.3333333	0.9666666667
66.66666667	0.925
0	0.8666666667
-66.66666667	0.8076923077
-133.3333333	0.754180602
-200	0.7190635452
-266.6666667	0.7090301003
-333.3333333	0.7090301003
-400	0.720735786
-466.6666667	0.7357859532
