Pump wv (nm):	1959.7
Probe wv (nm):	1322.5
P in (mW):	5.3
P start(uW):	25.4
P end(uW):	25.4
Pump in: 	W0301
Probe in: 	W0302
Pump out: 	W0303
Probe out:	W0305

delay (fs)	Spectrum
333.3333333	W0306
266.6666667	W0307
200	W0308
133.3333333	W0309
66.66666667	W0310
0	W0311
-66.66666667	W0312
-133.3333333	W0313
-200	W0314
-266.6666667	W0315
-333.3333333	W0316
-400	W0317
-466.6666667	W0318
