Pump wv (nm):	1958
Probe wv (nm):	1179
P in (mW):	1.7
P start(uW):	25.4
P end(uW):	25.51
Pump in: 	W0270
Probe in: 	W0271
Pump out: 	W0273
Probe out:	W0274

delay (fs)	Transmission
200	1
133.3333333	0.9974226804
66.66666667	0.9948320413
0	0.9974093264
-66.66666667	0.9922077922
-133.3333333	0.961038961
-200	0.9220779221
-266.6666667	0.8649350649
-333.3333333	0.8103896104
-400	0.7714285714
-466.6666667	0.7532467532
-533.3333333	0.7488311688
-600	0.7498701299
-666.6666667	0.7558441558
-733.3333333	0.7688311688
-800	0.774025974
