Pump wv (nm):	1958
Probe wv (nm):	1202
P in (mW):	2
P start(uW):	25.3
P end(uW):	24.6
Pump in: 	W0256
Probe in: 	W0257
Pump out: 	W0258
Probe out:	W0259

delay (fs)	Transmission
200	1
133.3333333	1.00286533
66.66666667	0.9914040115
0	0.9827586207
-66.66666667	0.9597701149
-133.3333333	0.9022988506
-200	0.8132183908
-266.6666667	0.7413793103
-333.3333333	0.7126436782
-400	0.7011494253
-466.6666667	0.7011494253
-533.3333333	0.7040229885
-600	0.7126436782
-666.6666667	0.7183908046
-733.3333333	0.7327586207
