Pump wv (nm):	1960
Probe wv (nm):	1254
P in (mW):	3.2
P start(uW):	24.8
P end(uW):	23.6
Pump in: 	W0224
Probe in: 	W0223
Pump out: 	W0225
Probe out:	W0226

delay (fs)	Transmission
400	0.9983713355
333.3333333	1
266.6666667	0.9983713355
200	1
133.3333333	0.9967793881
66.66666667	0.9791332263
0	0.9520766773
-66.66666667	0.9006410256
-133.3333333	0.85
-200	0.8193548387
-266.6666667	0.8193548387
-333.3333333	0.8209677419
-400	0.8268608414
-466.6666667	0.8317152104
-533.3333333	0.8376623377
-600	0.8474025974
-666.6666667	0.8538961039
