Pump wv (nm):	1954
Probe wv (nm):	1277
P in (mW):	5.7
P start(uW):	25.6
P end(uW):	25.4
Pump in: 	W0213
Probe in: 	W0212
Pump out: 	W0210
Probe out:	W0211

delay (fs)	Transmission
400	1
333.3333333	0.9968203498
266.6666667	0.9920508744
200	0.9825119237
133.3333333	0.9444444444
66.66666667	0.8964968153
0	0.8357256778
-66.66666667	0.7747603834
-133.3333333	0.7232
-200	0.6826923077
-266.6666667	0.6698717949
-333.3333333	0.6730769231
-400	0.6842948718
-466.6666667	0.6987179487
-533.3333333	0.7163461538
