Pump wv (nm):	1960
Probe wv (nm):	1307
P in (mW):	3.25
P start(uW):	25.7
P end(uW):	25.7
Pump in: 	W0188
Probe in: 	W0189
Pump out: 	W0190
Probe out:	W0191

delay (fs)	Transmission
33.33333333	0.9776315789
100	0.9643734644
166.6666667	0.9681372549
233.3333333	0.9658536585
300	0.9599027947
366.6666667	0.9739454094
433.3333333	0.9726708075
500	0.975
566.6666667	0.9888198758
633.3333333	0.992481203
700	0.9924337957
766.6666667	1.002538071
833.3333333	0.9987195903
900	1
966.6666667	1
