Pump wv (nm):	1958
Probe wv (nm):	1229
P in (mW):	3.6
P start(uW):	25.8
P end(uW):	26.066
Pump in: 	W0247
Probe in: 	W0246
Pump out: 	W0244
Probe out:	W0245

delay (fs)	Transmission
266.6666667	0.9935649936
200	0.9832689833
133.3333333	0.9755469755
66.66666667	0.954954955
0	0.9214929215
-66.66666667	0.8674388674
-133.3333333	0.8030888031
-200	0.7258687259
-266.6666667	0.6743886744
-333.3333333	0.6512226512
-400	0.6512226512
-466.6666667	0.6615186615
-533.3333333	0.676962677
-600	0.694980695
