Pump wv (nm):	1955
Probe wv (nm):	1277
P in (mW):	5.6
P start(uW):	25
P end(uW):	25.2
Pump in: 	W0206
Probe in: 	W0207
Pump out: 	W0208
Probe out:	W0209

delay (fs)	Transmission
400	0.9982517483
333.3333333	0.9964664311
266.6666667	0.9911504425
200	0.9893617021
133.3333333	0.9787234043
66.66666667	0.9592920354
0	0.9309734513
-66.66666667	0.9026548673
-133.3333333	0.8738898757
-200	0.8371681416
-266.6666667	0.8194690265
-333.3333333	0.8088495575
-400	0.8088495575
-466.6666667	0.8159292035
-533.3333333	0.8265486726
