Pump wv (nm):	1959.7
Probe wv (nm):	1322.5
P in (mW):	6.4
P start(uW):	25.4
P end(uW):	25.5
Pump in: 	W0301
Probe in: 	W0302
Pump out: 	W0346
Probe out:	W0349

delay (fs)	Transmission
266.6666667	0.9871382637
200	0.9710610932
133.3333333	0.9421221865
66.66666667	0.8971061093
0	0.845659164
-66.66666667	0.7877813505
-133.3333333	0.7427652733
-200	0.7138263666
-266.6666667	0.7106109325
-333.3333333	0.7138263666
-400	0.7234726688
-466.6666667	0.7427652733
