Pump wv (nm):	1958
Probe wv (nm):	1191
P in (mW):	2.3
P start(uW):	24.7
P end(uW):	25.86
Pump in: 	W0265
Probe in: 	W0264
Pump out: 	W0266
Probe out:	W0267

delay (fs)	Transmission
200	0.9971671388
133.3333333	0.9972144847
66.66666667	0.9971910112
0	0.9803370787
-66.66666667	0.9494382022
-133.3333333	0.9157303371
-200	0.845505618
-266.6666667	0.7724719101
-333.3333333	0.7219101124
-400	0.6938202247
-466.6666667	0.6769662921
-533.3333333	0.6837078652
-600	0.6924157303
-666.6666667	0.702247191
-733.3333333	0.7106741573
