Pump wv (nm):	1958
Probe wv (nm):	1216
P in (mW):	2.3
P start(uW):	25.5
P end(uW):	24.6
Pump in: 	W0255
Probe in: 	W0254
Pump out: 	W0252
Probe out:	W0253

delay (fs)	Transmission
266.6666667	1
200	0.9984076433
133.3333333	0.9936305732
66.66666667	1.001594896
0	0.9920255183
-66.66666667	0.966507177
-133.3333333	0.9090909091
-200	0.8006379585
-266.6666667	0.7145135566
-333.3333333	0.6762360447
-400	0.6698564593
-466.6666667	0.6762360447
-533.3333333	0.68261563
-600	0.6985645933
