Pump wv (nm):	1954
Probe wv (nm):	1239
P in (mW):	2.7
P start(uW):	24.62
P end(uW):	23.2
Pump in: 	W0238
Probe in: 	W0239
Pump out: 	W0236
Probe out:	W0237

delay (fs)	Transmission
333.3333333	1
266.6666667	1
200	0.9975186104
133.3333333	0.9974937343
66.66666667	0.984962406
0	0.9423558897
-66.66666667	0.8840206186
-133.3333333	0.8195876289
-200	0.7809278351
-266.6666667	0.7731958763
-333.3333333	0.7783505155
-400	0.7860824742
-466.6666667	0.7963917526
