Pump wv (nm):	1958
Probe wv (nm):	1278.4
P in (mW):	3.8
P start(uW):	25.4
P end(uW):	25.4
Pump in: 	W0289
Probe in: 	W0290
Pump out: 	W0291
Probe out:	W0292

delay (fs)	Transmission
333.3333333	0.9987063389
266.6666667	0.9973890339
200	0.9973753281
133.3333333	0.9913265306
66.66666667	0.9820971867
0	0.9590792839
-66.66666667	0.9158163265
-133.3333333	0.8826530612
-200	0.8596938776
-266.6666667	0.8535353535
-333.3333333	0.851010101
-400	0.8636363636
-466.6666667	0.8674242424
-533.3333333	0.8762626263
