Pump wv (nm):	1958
Probe wv (nm):	1229
P in (mW):	3
P start(uW):	24.78
P end(uW):	25
Pump in: 	W0240
Probe in: 	W0241
Pump out: 	W0242
Probe out:	W0243

delay (fs)	Transmission
333.3333333	0.9936575053
266.6666667	0.9978813559
200	0.9936305732
133.3333333	0.9872340426
66.66666667	0.9765458422
0	0.948608137
-66.66666667	0.9079229122
-133.3333333	0.8586723769
-200	0.7965738758
-266.6666667	0.7494646681
-333.3333333	0.7259100642
-400	0.7194860814
-466.6666667	0.721627409
-533.3333333	0.7301927195
-600	0.7408993576
