Pump wv (nm):	1958
Probe wv (nm):	1202
P in (mW):	2.5
P start(uW):	24.69
P end(uW):	24.03
Pump in: 	W0262
Probe in: 	W0263
Pump out: 	W0260
Probe out:	W0261

delay (fs)	Transmission
200	1
133.3333333	0.9972067039
66.66666667	0.9930167598
0	0.9748603352
-66.66666667	0.938547486
-133.3333333	0.8687150838
-200	0.7793296089
-266.6666667	0.717877095
-333.3333333	0.6955307263
-400	0.6944134078
-466.6666667	0.6966480447
-533.3333333	0.7039106145
-600	0.7150837989
-666.6666667	0.7276536313
-733.3333333	0.7374301676
