Pump wv (nm):	1958
Probe wv (nm):	1179
P in (mW):	2.05
P start(uW):	24.8
P end(uW):	24.8
Pump in: 	W0270
Probe in: 	W0271
Pump out: 	W0275
Probe out:	W0276

delay (fs)	Transmission
200	1
133.3333333	0.997005988
66.66666667	0.994011976
0	0.9868263473
-66.66666667	0.9550898204
-133.3333333	0.9041916168
-200	0.8305389222
-266.6666667	0.7634730539
-333.3333333	0.7170658683
-400	0.6976047904
-466.6666667	0.6936936937
-533.3333333	0.7003012048
-600	0.7129909366
-666.6666667	0.7202416918
