Pump wv (nm):	1958
Probe wv (nm):	1244
P in (mW):	3.3
P start(uW):	25.29
P end(uW):	25.45
Pump in: 	W0277
Probe in: 	W0278
Pump out: 	W0279
Probe out:	W0280

delay (fs)	Transmission
333.3333333	0.997311828
266.6666667	0.9946236559
200	0.9892473118
133.3333333	0.9784946237
66.66666667	0.9543010753
0	0.8870967742
-66.66666667	0.7877169559
-133.3333333	0.7076101469
-200	0.6702269693
-266.6666667	0.6648865154
-333.3333333	0.6710526316
-466.6666667	0.7026315789
-600	0.7270341207
-733.3333333	0.750656168
-866.6666667	0.777486911
-1000	0.7997382199
-1133.333333	0.8146214099
-1266.666667	0.8315926893
-1400	0.8463541667
-1533.333333	0.859375
-1666.666667	0.8649350649
-1800	0.8730569948
-1933.333333	0.871761658
-2066.666667	0.8873056995
-2200	0.907310705
-2333.333333	0.9242819843
-2466.666667	0.9660574413
-2600	0.9921671018
-2733.333333	0.9973890339
-2866.666667	1
