Pump wv (nm):	1958
Probe wv (nm):	1192
P in (mW):	1.9
P start(uW):	25
P end(uW):	24.9
Pump in: 	W0265
Probe in: 	W0264
Pump out: 	W0268
Probe out:	W0269

delay (fs)	Transmission
200	0.9972222222
133.3333333	0.9972222222
66.66666667	1
0	1
-66.66666667	0.9832402235
-133.3333333	0.951396648
-200	0.8910614525
-266.6666667	0.8314447592
-333.3333333	0.790368272
-400	0.7563739377
-466.6666667	0.7352112676
-533.3333333	0.7234636872
-600	0.7243767313
-666.6666667	0.7340720222
-733.3333333	0.7479224377
