Pump wv (nm):	1950
Probe wv (nm):	1310
P in (mW):	6
P start(uW):	35.5
P end(uW):	35.7
Pump in: 	W0074
Probe in: 	W0076
Pump out: 	W0074
Probe out:	W0076

delay (fs)	Transmission
800	0.9976359338
733.3333333	1.001179245
666.6666667	0.9964622642
600	0.9988207547
533.3333333	0.9882352941
466.6666667	0.9824766355
400	0.9778037383
333.3333333	0.9742990654
266.6666667	0.9609195402
200	0.9448275862
133.3333333	0.9333333333
66.66666667	0.9206896552
0	0.9224537037
-33.33333333	0.9143518519
-66.66666667	0.9166666667
-100	0.9201388889
-133.3333333	0.9201388889
-166.6666667	0.9259259259
-300	0.9369158879
-433.3333333	0.9426229508
-566.6666667	0.9450292398
-700	0.9529411765
-833.3333333	0.9541176471
-966.6666667	0.9576968273
-1100	0.9612220917
-1233.333333	0.9635722679
-1366.666667	0.9706227967
-1500	0.9788484136
-1566.666667	0.9823529412
-1633.333333	0.9847596717
-1700	0.9906213365
-1766.666667	0.9964830012
-1833.333333	0.9976553341
-1900	1.002331002
-1966.666667	0.9964994166
-2033.333333	0.9976608187
