Pump wv (nm):	1955
Probe wv (nm):	1270
P in (mW):	4.1
P start(uW):	24.4
P end(uW):	24.1
Pump in: 	W0222
Probe in: 	W0221
Pump out: 	W0219
Probe out:	W0220

delay (fs)	Transmission
400	0.9983333333
333.3333333	0.9983333333
266.6666667	1
200	1
133.3333333	0.9983333333
66.66666667	0.995
0	0.975
-66.66666667	0.9416666667
-133.3333333	0.9016666667
-200	0.8637873754
-266.6666667	0.8504983389
-333.3333333	0.8471760797
-400	0.8488372093
-466.6666667	0.8504983389
-533.3333333	0.8621262458
-600	0.8737541528
-666.6666667	0.8803986711
