Pump wv (nm):	1956
Probe wv (nm):	1295
P in (mW):	6.4
P start(uW):	24.7
P end(uW):	25.2
Pump in: 	W0198
Probe in: 	W0199
Pump out: 	W0200
Probe out:	W0201

delay (fs)	Transmission
333.3333333	0.9967532468
266.6666667	0.9853896104
200	0.9756493506
133.3333333	0.9496753247
66.66666667	0.9123376623
0	0.8668831169
-66.66666667	0.8133116883
-133.3333333	0.7694805195
-200	0.7305194805
-266.6666667	0.7061688312
-333.3333333	0.7029220779
-400	0.7094155844
-466.6666667	0.7256493506
