Pump wv (nm):	1961
Probe wv (nm):	1246
P in (mW):	4.2
P start(uW):	35.4
P end(uW):	35.4
Pump in: 	W0181
Probe in: 	W0186
Pump out: 	W0183
Probe out:	W0186

delay (fs)	Transmission
800	1
733.3333333	1.001162791
666.6666667	0.9988372093
600	0.9965116279
533.3333333	0.9941860465
466.6666667	0.9941792782
433.3333333	0.9941724942
400	0.9894490035
366.6666667	0.9882352941
333.3333333	0.9764705882
300	0.9576470588
266.6666667	0.9282352941
200	0.8474178404
133.3333333	0.7772567409
66.66666667	0.7538100821
0	0.7526377491
-66.66666667	0.7596717468
-133.3333333	0.7775175644
-200	0.7892271663
-333.3333333	0.8
-466.6666667	0.8218390805
-600	0.8274285714
-733.3333333	0.84
-866.6666667	0.8454545455
-1000	0.8568181818
-1133.333333	0.8784090909
-1266.666667	0.8818181818
-1400	0.8920454545
-1533.333333	0.89569161
-1600	0.9013605442
-1666.666667	0.9070294785
-1733.333333	0.9070294785
-1800	0.9115646259
-1866.666667	0.9099099099
-1933.333333	0.9172763084
-2000	0.9268841395
-2066.666667	0.9432265318
-2133.333333	0.9640449438
-2200	0.9769792252
-2266.666667	0.987654321
-2333.333333	0.9988913525
-2400	0.9955654102
-2466.666667	0.9966740576
