Pump wv (nm):	1960
Probe wv (nm):	1253
P in (mW):	3.7
P start(uW):	24.5
P end(uW):	24
Pump in: 	W0229
Probe in: 	W0230
Pump out: 	W0227
Probe out:	W0228

delay (fs)	Transmission
400	1
333.3333333	1
266.6666667	0.9966887417
200	0.9900662252
133.3333333	0.9768211921
66.66666667	0.9271523179
0	0.8311258278
-66.66666667	0.7317880795
-133.3333333	0.6688741722
-200	0.6490066225
-266.6666667	0.6556291391
-333.3333333	0.6655629139
-400	0.678807947
-466.6666667	0.6953642384
